Product;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;;;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Michelle Christy;Lifestyle;https://www.tiktok.com/@michelecristyy/video/7646270965382679815?is_from_webapp=1&sender_device=pc;;;35000;729167;64;80;11;7;11;0,08%;36,25%;0,23%;9114,5875
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Kus Khofifanti;Lifestyle;https://www.tiktok.com/@funteah/video/7656736079739096340?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;11000;729167;334;417;116;4;5;1,14%;29,98%;3,79%;1748,601918
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Aprilina Waruwu;Lifestyle;https://www.tiktok.com/@aprilinawa/video/7652080273101704455?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;15400;729167;605;756;176;31;4;1,37%;27,91%;4,91%;964,5066138
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Rizka Annisa;Lifestyle;https://www.tiktok.com/@ikaaans9/video/7646384025443110165?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;2625;729167;67;84;21;1;1;0,88%;27,38%;3,20%;8680,559524
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Elga;Lifestyle;https://www.tiktok.com/@itz.ellga_/video/7646351019076488469?is_from_webapp=1&sender_device=pc;;;12800;729167;64;80;9;1;9;0,15%;23,75%;0,63%;9114,5875
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Sharen;Lifestyle;https://www.tiktok.com/@sheseaalss/video/7652339439032749332?is_from_webapp=1&sender_device=pc;;;2000;729167;270;337;39;25;15;3,95%;23,44%;16,85%;2163,700297
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Bintang Jasmine;Lifestyle;https://www.tiktok.com/@soerayach/video/7646290793266711829?is_from_webapp=1&sender_device=pc;;;1200;729167;1968;2460;432;25;11;39,00%;19,02%;205,00%;296,4093496
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Vinnia Putri;Lifestyle;https://www.tiktok.com/@vinniaptr_/video/7654458687540563208?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;5732;729167;223;279;38;0;0;0,66%;13,62%;4,87%;2613,501792
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Kevin Yudistira;Lifestyle;https://www.tiktok.com/@key_yta/video/7654933892419374354?is_from_webapp=1&sender_device=pc;;;4932;729167;478;598;63;0;2;1,32%;10,87%;12,12%;1219,342809
Health Supplement;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Susi Oktavya;Lifestyle;https://www.tiktok.com/@susioktavya/video/7656493109592755477?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;;;1000;729167;85;106;8;2;1;1,10%;10,38%;10,60%;6878,933962
