Category;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Rakha Gandawa Kusuma;Lifestyle;https://www.tiktok.com/@rakhagandawa_/video/7652778445046369557?is_from_webapp=1&sender_device=pc;2508;729167;82;102;5;1;1;0,28%;6,86%;4,07%;Rp7.148,70
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Shyva Titania;Lifestyle;https://www.tiktok.com/@stitania/video/7657085087527324935?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;12800;729167;35;44;3;0;0;0,02%;6,82%;0,34%;Rp16.571,98
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Tiara;Lifestyle;https://www.tiktok.com/@tiara__125/video/7646285536914623752?is_from_webapp=1&sender_device=pc;12900;729167;2255;2819;149;23;7;1,39%;6,35%;21,85%;Rp258,66
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Chandra Wijaya;Lifestyle;https://www.tiktok.com/@chandraawjy_/video/7646338932099042580?is_from_webapp=1&sender_device=pc;24200;729167;177;221;10;0;4;0,06%;6,33%;0,91%;Rp3.299,40
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Risna Oktavia;Lifestyle;https://www.tiktok.com/@risnaoktaviahardanik/video/7656358639782923527?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;6166;729167;14;17;1;0;0;0,02%;5,88%;0,28%;Rp42.892,18
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Firdania Arifah;Lifestyle;https://www.tiktok.com/@firdaniaarfh/video/7651241692003110151?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;20100;729167;122;153;7;0;1;0,04%;5,23%;0,76%;Rp4.765,80
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Dewi mayasari;Lifestyle;https://www.tiktok.com/@dewi_maya05/video/7646298566318755079?is_from_webapp=1&sender_device=pc;36600;729167;1897;2371;112;1;3;0,32%;4,89%;6,48%;Rp307,54
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Marsya Nur B;Lifestyle;https://www.tiktok.com/@syaa.bai/video/7650430328158342418?is_from_webapp=1&sender_device=pc;8230;729167;139;174;5;0;3;0,10%;4,60%;2,11%;Rp4.190,61
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Olifya;Lifestyle;https://www.tiktok.com/@livythetic/video/7655100367155383572?is_from_webapp=1&sender_device=pc;10400;729167;114;142;6;0;0;0,06%;4,23%;1,37%;Rp5.134,98
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Rezky Iskandar;Lifestyle;https://www.tiktok.com/@kyskndr/video/7654922293935656213?is_from_webapp=1&sender_device=pc;36000;729167;194;243;10;0;0;0,03%;4,12%;0,68%;Rp3.000,69
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Hidayat F;Lifestyle;https://www.tiktok.com/@hidayatfd/video/7646464986964970772?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;2952;729167;242;303;12;0;0;0,41%;3,96%;10,26%;Rp2.406,49
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Jessi Agustina;Lifestyle;https://www.tiktok.com/@jessi_agstina/video/7653033064762707220?is_from_webapp=1&sender_device=pc;6300;729167;61;76;3;0;0;0,05%;3,95%;1,21%;Rp9.594,30
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Shanon;Lifestyle;https://www.tiktok.com/@shanon_1208/video/7646006689103187220?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;10700;729167;915;1144;40;0;2;0,39%;3,67%;10,69%;Rp637,38
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Naila Bilbina;Lifestyle;https://www.tiktok.com/@causeyoulose/video/7652573563693649173?is_from_webapp=1&sender_device=pc;34000;729167;2886;3607;110;2;1;0,33%;3,13%;10,61%;Rp202,15
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Desi Permata;Lifestyle;https://www.tiktok.com/@desiipermaataa/video/7652313052389444871?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;1223;729167;170;212;6;0;0;0,49%;2,83%;17,33%;Rp3.439,47
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Micro;Rafi;Lifestyle;https://www.tiktok.com/@raff05_/video/7644108175502839048?is_from_webapp=1&sender_device=pc&web_id=7409935392189679112;16300;729167;3442;4302;92;2;5;0,61%;2,30%;26,39%;Rp169,49
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Fetri Nur;Lifestyle;https://www.tiktok.com/@fetrinp/video/7650379019610754324?_r=1&_t=ZS-978p97TFSDp;5000;729167;1359;1699;22;0;15;0,74%;2,18%;33,98%;Rp429,17
HEALTH SUPPLEMENT;Enervon;Enervon Fizz;Consideration;Jun-26;TikTok;Nano;Septia Anggraini;Lifestyle;https://www.tiktok.com/@sicant1k___/video/7645702935636135175?is_from_webapp=1&sender_device=pc;3274;729167;1245;1556;20;2;6;0,86%;1,80%;47,53%;Rp468,62
